x,y
-0.5,9.34E-13
-0.4925,1.06E-12
-0.485,1.20E-12
-0.46825,1.65E-12
-0.4625,1.84E-12
-0.44,2.92E-12
-0.4175,4.72E-12
-0.395,7.69E-12
-0.3725,1.26E-11
-0.35,2.06E-11
-0.3275,3.38E-11
-0.305,5.52E-11
-0.2825,9.00E-11
-0.26,1.46E-10
-0.2375,2.37E-10
-0.215,3.83E-10
-0.1925,6.17E-10
-0.17,9.90E-10
-0.1475,1.58E-09
-0.125,2.52E-09
-0.1025,3.99E-09
-0.08,6.28E-09
-0.0575,9.83E-09
-0.035,1.53E-08
-0.0125,2.36E-08
0.01,3.60E-08
0.0325,5.45E-08
0.055,8.16E-08
0.0775,1.21E-07
0.1,1.76E-07
0.1225,2.52E-07
0.145,3.57E-07
0.1675,4.96E-07
0.19,6.79E-07
0.2125,9.13E-07
0.235,1.21E-06
0.2575,1.57E-06
0.28,2.01E-06
0.3025,2.54E-06
0.325,3.16E-06
0.3475,3.88E-06
0.37,4.70E-06
0.3925,5.64E-06
0.415,6.70E-06
0.4375,7.84E-06
0.46,9.06E-06
0.4825,1.04E-05
0.505,1.18E-05
0.5275,1.33E-05
0.55,1.49E-05
0.5725,1.65E-05
0.595,1.83E-05
0.6175,2.01E-05
0.64,2.20E-05
0.6625,2.40E-05
0.685,2.60E-05
0.7075,2.81E-05
0.73,3.02E-05
0.7525,3.24E-05
0.775,3.46E-05
0.7975,3.68E-05
0.82,3.91E-05
0.8425,4.14E-05
0.865,4.37E-05
0.8875,4.61E-05
0.91,4.85E-05
0.9325,5.08E-05
0.955,5.33E-05
0.9775,5.57E-05
1,5.81E-05
